pin,ward,community_area,census_tract,zip
19124210380000,14,63,17031630500,60632
19132000040000,15,63,17031835100,60632
19132030280000,15,63,17031835100,60629
19132200150000,15,63,17031835100,60629
19132200230000,15,63,17031835100,60629
19133030280000,15,66,17031660302,60629
19134170080000,16,66,17031835000,60629
19141300040000,23,62,17031620400,60629
19143050500000,23,65,17031650100,60629
13333040260000,37,,17031250300,60639
19143100260000,23,65,17031650100,60629
19143300080000,23,65,17031650100,60629
19144070390000,14,66,17031660400,60629
13213300360000,30,,17031151100,60641
13221070140000,38,,17031831700,60641
13222160260000,38,,17031161000,60641
13222170080000,38,,17031161000,60641
13224060130000,30,,17031161300,60641
13224100380000,30,,17031161200,60641
13224240060000,30,,17031161300,60641
13232010110000,35,,17031160800,60618
13233090240000,30,,17031831100,60618
13233170330000,30,,17031831100,60618
13362110100000,1,,17031221400,60647
13363000160000,35,,17031222600,60647
13264290411002,35,,17031220601,
13264290411009,35,,17031220601,60647
13271230060000,31,,17031190100,60641
13273040380000,31,,17031190900,60639
13273240100000,31,,17031190900,60639
13281210220000,31,,17031190300,60641
13283050350000,30,,17031190701,60639
13283240360000,30,,17031190702,60639
13284180260000,31,,17031190800,60639
13284230310000,31,,17031190800,60639
13291100220000,29,,17031190401,60634
13292020090000,30,,17031190402,60634
10104160410000,,,,60076
13293110120000,29,,17031190601,60639
13294060060000,30,,17031190602,60639
13294160020000,29,,17031190601,60639
13301320030000,36,,17031180100,60634
13302170130000,36,,17031180100,60634
13302200210000,36,,17031831500,60634
13302250060000,36,,17031180100,60634
13303130060000,36,,17031831600,60707
13303180250000,36,,17031831600,60707
13304080450000,36,,17031831600,60707
13311240540000,36,,17031250500,60707
13313110050000,36,,17031250500,60707
13313200150000,36,,17031250500,60707
13363060320000,35,,17031222500,60647
20143170090000,20,,,60637
13364000200000,1,,17031832400,60647
13364010341006,1,,17031832400,60647
13364010341016,1,,17031832400,60647
14052100251066,48,,17031030102,60660
14052100251073,48,,17031030102,60660
14052100251076,48,,17031030102,60660
14053160560000,48,,17031030500,60660
14054020411071,48,,17031030601,60660
14054020411079,48,,17031030601,60660
14054080250000,48,,17031030603,60660
14062040040000,40,,17031030300,60660
14062110100000,40,,17031030300,60660
14062150600000,40,,17031030300,60660
14064010571002,40,,17031030400,60660
10104230290000,,,,60076
14064120460000,40,,17031030400,60660
14071110080000,40,,17031040100,60625
14073000200000,47,,17031040401,60625
14073120370000,47,,17031040401,60625
14073200310000,47,,17031040401,60625
14074230611003,47,,17031031000,60640
14081170070000,48,,17031030800,60640
14081190230000,48,,17031030800,60640
14081250170000,48,,17031030800,60640
14082000308001,48,,17031030701,60660
14083020771004,46,,17031031100,60640
14083080611002,46,,17031031100,60640
14084050080000,48,,17031031200,60640
14084070271007,48,,17031031300,60640
14084070271009,48,,17031031300,60640
14084120311008,48,,17031031300,60640
14163010411036,46,,17031031400,60613
14163010411053,46,,17031031400,60613
14163010411083,46,,17031031400,60613
14163010411101,46,,17031031400,60613
14163010411108,46,,17031031400,60613
14163010411112,46,,17031031400,60613
14163010411141,46,,17031031400,60613
14163010411161,46,,17031031400,60613
14163010411177,46,,17031031400,60613
14163010411184,46,,17031031400,60613
14163010411281,46,,17031031400,60613
14163010411352,46,,17031031400,60613
14163010411516,46,,17031031400,60613
14163010411522,46,,17031031400,60613
14163010411534,46,,17031031400,60613
14163010411580,46,,17031031400,60613
14163010411616,46,,17031031400,60613
14163010411679,46,,17031031400,60613
14163010411681,46,,17031031400,60613
14163010411690,46,,17031031400,60613
14163010411696,46,,17031031400,60613
14163010411698,46,,17031031400,60613
14163010411721,46,,17031031400,60613
14163010411750,46,,17031031400,60613
14163010411775,46,,17031031400,60613
14163010411818,46,,17031031400,60613
14171200401044,47,,17031031900,60640
20144070140000,20,,,60637
14171200401064,47,,17031031900,60640
14202180230000,44,,17031061100,60613
14203040261006,44,,17031061500,60613
14203040261032,44,,17031061500,60613
14204050120000,44,,17031832000,60657
14204160571003,44,,17031062200,60657
14204200771002,44,,17031062100,60657
14211060361003,46,,17031060900,60613
14211060361041,46,,17031060900,60613
14211060361044,46,,17031060900,60613
14213020220000,46,,17031061800,60657
14174030060000,46,,17031032100,60613
14174040571009,46,,17031032100,60613
14181040211004,47,,17031040600,60625
10121010351002,,,,60201
14183090570000,47,,17031050200,60618
14183110240000,47,,17031050200,60618
14184000331004,47,,17031050100,60618
14184180461004,47,,17031050100,60618
14191130210000,47,,17031050500,60618
14192290040000,47,,17031060300,60613
14193210380000,32,,17031051100,60618
14194220451005,32,,17031062500,60657
14201020491001,47,,17031060400,60613
14294060521032,43,,17031070300,60614
14294070901010,43,,17031070300,60614
14294140431001,32,,17031070400,60614
14294200651011,43,,17031070300,60614
14294200651017,43,,17031070300,60614
14301000381001,1,,17031843700,60618
14301000381007,1,,17031843700,60618
14301180351020,1,,17031830900,60618
14303000100000,1,,17031830900,60647
14304020591019,32,,17031070700,60614
14304020591031,32,,17031070700,60614
14311180230000,32,,17031221600,60647
14313090201032,1,,17031222200,60647
14313120731017,32,,17031222200,60647
14313150481006,32,,17031832200,60647
14313180131018,1,,17031240500,60647
14313180131023,1,,17031240500,60647
14313180131060,1,,17031240500,60647
14313180141026,1,,17031240500,60647
14313180141049,1,,17031240500,60647
14313180141069,1,,17031240500,60647
14313180141071,1,,17031240500,60647
14313180141151,1,,17031240500,60647
14313180141187,1,,17031240500,60647
14313190481037,1,,17031240500,60647
14313210550000,32,,17031831000,60647
14313260831004,1,,17031240500,60647
14314040360000,32,,17031832300,60622
14321070541004,32,,17031832500,60614
14321240241004,32,,17031832500,60614
14321300040000,32,,17031832500,60614
14322060390000,32,,17031071000,60614
14322120451003,43,,17031071100,60614
14322220491015,43,,17031071000,60614
10122050251001,,,,60201
14322220491017,43,,17031071000,60614
14324100601002,43,,17031832600,60614
14331300050000,43,,17031071300,60614
14332010040000,43,,17031071400,60614
14333031110000,43,,17031071800,60614
14333060631001,43,,17031071600,60614
14333140791001,43,,17031071800,60614
14334000421001,43,,17031071500,60614
14334000421036,43,,17031071500,60614
14334000421063,43,,17031071500,60614
14334000421064,43,,17031071500,60614
14334000421067,43,,17031071500,60614
14334000421137,43,,17031071500,60614
14334000421140,43,,17031071500,60614
20153030421005,20,,,60637
14334000421153,43,,17031071500,60614
14334000421203,43,,17031071500,60614
14334000421237,43,,17031071500,60614
14334000421251,43,,17031071500,60614
14334000421283,43,,17031071500,60614
14334000421286,43,,17031071500,60614
14334000421334,43,,17031071500,60614
14334000421347,43,,17031071500,60614
14334000421358,43,,17031071500,60614
