pin,address,housenumber,streetname,city,state,zip,units_res,land_class,building_class,owner_id,lat,lng
19231230140000,,,,,,60629,,203,203,,41.77358400153537,-87.71506223286165
19233180230000,,,,,,60629,,203,203,,41.7671634196026,-87.71716828465817
19233240320000,,,,,,60629,,202,202,,41.765286087743995,-87.72106935894334
19241060200000,,,,,,60629,,203,203,,41.777558207713085,-87.69544162332336
19241120130000,,,,,,60629,,203,203,,41.776055323302955,-87.69783883528441
25211080320000,,,,,,60628,,203,203,,41.68910450040229,-87.64141472575692
19242000060000,,,,,,60629,,EX,EX,,41.778831948425506,-87.69263199204646
19244220070000,,,,,,60629,,211,211,,41.76540706197188,-87.69147579159163
19244250080000,,,,,,60629,,211,211,,41.76574582312597,-87.68781504352033
19251090020000,,,,,,60629,,203,203,,41.76237018751689,-87.70117663580073
19251130110000,,,,,,60629,,202,202,,41.76170952369083,-87.69626783325445
19251210450000,,,,,,60629,,205,205,,41.75970561702535,-87.69569134526817
19252080370000,,,,,,60629,,211,211,,41.76128123697966,-87.69206755816037
19254090750000,,,,,,60652,,202,202,,41.75512409073193,-87.68508017127915
19261070240000,,,,,,60629,,203,203,,41.76344124143392,-87.71306578734189
25212050390000,,,,,,60628,,203,203,,41.69097166217954,-87.62802972715718
19263420050000,,,,,,60652,,202,202,,41.751081389709995,-87.71547643904358
19264250180000,,,,,,60652,,234,234,,41.755183628107254,-87.7093938652308
19273170690000,,,,,,60652,,203,203,,41.75163866784422,-87.7333170895447
19274010581075,,,,,,60652,,299,299,,41.75402460888415,-87.72829781658832
19274010581101,,,,,,60652,,299,299,,41.75402460888415,-87.72829781658832
19274010581131,,,,,,60652,,299,299,,41.75402460888415,-87.72829781658832
19274010581158,,,,,,60652,,299,299,,41.75402460888415,-87.72829781658832
19283140400000,,,,,,60459,,203,203,,41.75263094824491,-87.75261092384079
19283340080000,,,,,,60459,,203,203,,41.75021133580746,-87.75197526996497
25214210370000,,,,,,60628,,211,211,,41.681325809667435,-87.62313930197651
19284030020000,,,,,,60459,,234,234,,41.754324444178394,-87.74993265683591
19293090210000,,,,,,60459,,234,234,,41.74963840749449,-87.77818531607413
19305000110000,,,,,,,,RR,RR,,41.75911744352011,-87.8000093008645
19311030340000,,,,,,60459,,202,202,,41.745176070545334,-87.79387633465481
19311060090000,,,,,,60459,,202,202,,41.743296897092776,-87.79763679097961
